region,treated,lat,lon,date,flag,hours,vessel_ids,period_start,period_end
english_channel,1,49.6,-0.4,2018-02,GBR,0.8866666666666667,1,2018-01-01,2018-12-31
english_channel,1,49.0,-2.8,2018-12,FRA,2.8322222222222226,2,2018-01-01,2018-12-31
english_channel,1,48.9,-2.3,2018-05,GBR,15.050277777777776,2,2018-01-01,2018-12-31
english_channel,1,48.8,-2.6,2018-07,FRA,66.55111111111111,2,2018-01-01,2018-12-31
english_channel,1,49.7,-3.4,2018-03,GBR,12.324444444444444,5,2018-01-01,2018-12-31
english_channel,1,50.0,-2.4,2018-02,GBR,51.20055555555556,1,2018-01-01,2018-12-31
english_channel,1,50.5,-0.6,2018-02,BEL,7.4558333333333335,3,2018-01-01,2018-12-31
english_channel,1,50.3,0.6,2018-09,FRA,10.845555555555555,3,2018-01-01,2018-12-31
english_channel,1,50.6,-2.2,2018-04,GBR,1.3747222222222222,2,2018-01-01,2018-12-31
english_channel,1,50.0,0.2,2018-07,FRA,19.28388888888889,4,2018-01-01,2018-12-31
english_channel,1,50.3,-3.2,2018-05,GBR,156.04416666666665,8,2018-01-01,2018-12-31
english_channel,1,49.9,-4.4,2018-04,GBR,22.881944444444446,6,2018-01-01,2018-12-31
english_channel,1,50.0,-4.9,2018-09,FRA,23.751944444444447,9,2018-01-01,2018-12-31
english_channel,1,50.7,-0.3,2018-05,GBR,24.51694444444444,7,2018-01-01,2018-12-31
english_channel,1,49.7,-0.2,2018-09,GBR,4.955833333333333,1,2018-01-01,2018-12-31
english_channel,1,50.0,-2.0,2018-12,FRA,2.2997222222222224,2,2018-01-01,2018-12-31
english_channel,1,50.1,-4.0,2018-02,FRA,25.629166666666674,3,2018-01-01,2018-12-31
english_channel,1,49.2,-2.8,2018-09,FRA,11.539444444444445,1,2018-01-01,2018-12-31
english_channel,1,50.2,-2.7,2018-10,GBR,107.49250000000002,14,2018-01-01,2018-12-31
english_channel,1,51.4,1.6,2018-06,GBR,33.30027777777778,5,2018-01-01,2018-12-31
english_channel,1,49.5,-3.7,2018-11,GBR,27.354999999999997,2,2018-01-01,2018-12-31
english_channel,1,49.4,-2.0,2018-02,FRA,2.013611111111111,1,2018-01-01,2018-12-31
english_channel,1,50.4,1.0,2018-02,GBR,5.932499999999999,1,2018-01-01,2018-12-31
english_channel,1,49.1,-3.5,2018-07,FRA,21.48888888888889,1,2018-01-01,2018-12-31
english_channel,1,51.9,1.7,2018-05,BEL,296.3366666666667,4,2018-01-01,2018-12-31
english_channel,1,49.4,-2.4,2018-12,GBR,61.959722222222226,3,2018-01-01,2018-12-31
english_channel,1,49.8,-4.5,2018-04,GBR,54.861666666666665,8,2018-01-01,2018-12-31
english_channel,1,49.9,-0.6,2018-12,BEL,1.0594444444444444,1,2018-01-01,2018-12-31
english_channel,1,50.4,1.2,2018-12,FRA,1.0669444444444445,1,2018-01-01,2018-12-31
english_channel,1,50.1,-3.3,2018-07,FRA,1.9416666666666669,1,2018-01-01,2018-12-31
english_channel,1,50.1,-4.8,2018-12,GBR,32.30361111111111,5,2018-01-01,2018-12-31
english_channel,1,50.5,-1.0,2018-07,FRA,0.7977777777777777,2,2018-01-01,2018-12-31
english_channel,1,50.3,0.9,2018-05,FRA,38.74916666666667,7,2018-01-01,2018-12-31
english_channel,1,50.1,-2.6,2018-10,NLD,2.5855555555555556,2,2018-01-01,2018-12-31
english_channel,1,50.6,-3.1,2018-01,GBR,117.67388888888891,15,2018-01-01,2018-12-31
english_channel,1,49.5,-3.0,2018-08,FRA,70.29527777777778,18,2018-01-01,2018-12-31
english_channel,1,50.2,-2.0,2018-09,FRA,0.5330555555555555,1,2018-01-01,2018-12-31
english_channel,1,50.4,-2.8,2018-02,FRA,5.911388888888888,2,2018-01-01,2018-12-31
english_channel,1,50.1,1.1,2018-11,BEL,7.457222222222222,1,2018-01-01,2018-12-31
english_channel,1,50.0,-4.7,2018-03,BEL,2.619722222222222,1,2018-01-01,2018-12-31
english_channel,1,50.6,-2.8,2018-02,GBR,113.51638888888886,10,2018-01-01,2018-12-31
english_channel,1,50.0,-0.4,2018-12,FRA,9.598611111111111,5,2018-01-01,2018-12-31
english_channel,1,49.3,-0.8,2018-10,FRA,20.251944444444444,2,2018-01-01,2018-12-31
english_channel,1,49.7,-4.0,2018-09,GBR,27.216944444444447,2,2018-01-01,2018-12-31
english_channel,1,50.3,0.9,2018-11,NLD,143.66222222222217,6,2018-01-01,2018-12-31
english_channel,1,50.1,-2.6,2018-04,FRA,8.244166666666667,3,2018-01-01,2018-12-31
english_channel,1,49.7,0.0,2018-11,FRA,6.211666666666666,4,2018-01-01,2018-12-31
english_channel,1,48.9,-4.9,2018-01,FRA,6.5275,3,2018-01-01,2018-12-31
english_channel,1,48.7,-2.8,2018-11,FRA,11.0675,3,2018-01-01,2018-12-31
english_channel,1,50.6,1.2,2018-12,GBR,8.561944444444444,2,2018-01-01,2018-12-31
english_channel,1,51.7,1.4,2018-11,GBR,1.0002777777777776,1,2018-01-01,2018-12-31
english_channel,1,50.2,0.8,2018-01,NLD,19.996666666666666,7,2018-01-01,2018-12-31
english_channel,1,50.1,0.4,2018-03,NLD,2.8277777777777775,1,2018-01-01,2018-12-31
english_channel,1,50.1,-2.9,2018-10,IRL,388.05972222222215,15,2018-01-01,2018-12-31
english_channel,1,49.9,-3.5,2018-07,GBR,83.74027777777778,11,2018-01-01,2018-12-31
english_channel,1,50.1,-4.7,2018-06,GBR,95.34166666666668,18,2018-01-01,2018-12-31
english_channel,1,51.0,1.5,2018-10,GBR,15.908333333333335,4,2018-01-01,2018-12-31
english_channel,1,50.6,1.0,2018-02,FRA,104.29500000000003,15,2018-01-01,2018-12-31
english_channel,1,49.6,-3.3,2018-12,BEL,27.552222222222223,2,2018-01-01,2018-12-31
english_channel,1,50.3,0.1,2018-10,FRA,2.1002777777777775,2,2018-01-01,2018-12-31
english_channel,1,50.4,-0.6,2018-07,FRA,14.060555555555556,6,2018-01-01,2018-12-31
english_channel,1,50.2,0.0,2018-04,GBR,138.61916666666664,5,2018-01-01,2018-12-31
english_channel,1,49.8,-1.7,2018-06,FRA,0.5305555555555554,1,2018-01-01,2018-12-31
english_channel,1,50.2,-0.4,2018-09,FRA,15.55638888888889,4,2018-01-01,2018-12-31
english_channel,1,50.6,0.6,2018-07,BEL,26.60527777777778,4,2018-01-01,2018-12-31
english_channel,1,48.4,-5.0,2018-05,FRA,44.14555555555555,3,2018-01-01,2018-12-31
english_channel,1,50.5,0.5,2018-12,FRA,7.057777777777776,3,2018-01-01,2018-12-31
english_channel,1,49.5,-4.0,2018-12,GBR,0.28305555555555556,1,2018-01-01,2018-12-31
english_channel,1,49.1,-4.4,2018-04,FRA,1.09,1,2018-01-01,2018-12-31
english_channel,1,51.3,2.0,2018-01,BEL,4.556666666666667,2,2018-01-01,2018-12-31
english_channel,1,48.8,-4.0,2018-01,FRA,10.128611111111109,7,2018-01-01,2018-12-31
english_channel,1,50.1,-3.4,2018-08,FRA,12.776666666666666,5,2018-01-01,2018-12-31
english_channel,1,50.8,0.8,2018-05,GBR,4.52361111111111,1,2018-01-01,2018-12-31
english_channel,1,50.5,0.6,2018-02,GBR,5.4158333333333335,2,2018-01-01,2018-12-31
english_channel,1,49.5,-4.8,2018-02,FRA,208.81638888888892,17,2018-01-01,2018-12-31
english_channel,1,50.1,-0.2,2018-02,FRA,24.53666666666667,5,2018-01-01,2018-12-31
english_channel,1,48.8,-3.3,2018-04,FRA,45.54166666666667,1,2018-01-01,2018-12-31
english_channel,1,49.5,-1.1,2018-01,FRA,18.68722222222222,2,2018-01-01,2018-12-31
english_channel,1,49.0,-3.1,2018-11,FRA,1.0341666666666667,1,2018-01-01,2018-12-31
english_channel,1,49.4,-0.4,2018-02,FRA,430.765833333333,37,2018-01-01,2018-12-31
english_channel,1,50.2,0.3,2018-09,FRA,8.955,2,2018-01-01,2018-12-31
english_channel,1,50.6,1.0,2018-10,DEU,2.334722222222222,1,2018-01-01,2018-12-31
english_channel,1,50.1,-3.2,2018-07,GBR,198.91972222222222,16,2018-01-01,2018-12-31
english_channel,1,50.4,0.8,2018-07,FRA,207.93638888888887,13,2018-01-01,2018-12-31
english_channel,1,50.2,-4.1,2018-12,GBR,73.22999999999999,11,2018-01-01,2018-12-31
