cell_id,week_index,year,week,date,treated,post,covid_active,vessel_density,dvm_amplitude,sst,log_chla,bathymetry,season_sin,season_cos,season_q
CELL_000,0,2018,1,2018-01-01,1,0,0,31.715,-9.2482,14.124,1.2479,424.7,0.1205,0.9927,0
CELL_001,0,2018,1,2018-01-01,1,0,0,19.462,-4.8819,14.777,1.5027,770.4,0.1205,0.9927,0
CELL_002,0,2018,1,2018-01-01,1,0,0,18.543,-4.7469,15.5,0.795,639.2,0.1205,0.9927,0
CELL_003,0,2018,1,2018-01-01,1,0,0,35.534,-11.3822,15.272,1.0015,559.2,0.1205,0.9927,0
CELL_004,0,2018,1,2018-01-01,1,0,0,27.794,-8.0213,13.092,0.3376,293.6,0.1205,0.9927,0
CELL_005,0,2018,1,2018-01-01,1,0,0,18.235,-5.0612,14.782,1.2866,293.6,0.1205,0.9927,0
CELL_006,0,2018,1,2018-01-01,1,0,0,14.13,-3.4565,14.679,0.6644,234.9,0.1205,0.9927,0
CELL_007,0,2018,1,2018-01-01,1,0,0,27.453,-8.2101,14.652,-0.1799,719.7,0.1205,0.9927,0
CELL_008,0,2018,1,2018-01-01,1,0,0,15.86,-4.5253,13.971,0.2154,560.7,0.1205,0.9927,0
CELL_009,0,2018,1,2018-01-01,1,0,0,18.895,-5.0315,15.487,-0.0205,624.8,0.1205,0.9927,0
CELL_010,0,2018,1,2018-01-01,1,0,0,27.658,-8.5669,14.089,0.4188,212.4,0.1205,0.9927,0
CELL_011,0,2018,1,2018-01-01,1,0,0,31.19,-9.4494,13.765,1.4547,781.9,0.1205,0.9927,0
CELL_012,0,2018,1,2018-01-01,1,0,0,29.9,-9.0266,14.894,0.4162,699.5,0.1205,0.9927,0
CELL_013,0,2018,1,2018-01-01,1,0,0,21.835,-6.3426,15.329,0.2071,327.4,0.1205,0.9927,0
CELL_014,0,2018,1,2018-01-01,1,0,0,32.254,-9.5496,12.882,-0.2853,309.1,0.1205,0.9927,0
CELL_015,0,2018,1,2018-01-01,1,0,0,24.221,-6.8185,14.524,0.7606,310.0,0.1205,0.9927,0
CELL_016,0,2018,1,2018-01-01,1,0,0,29.293,-9.1332,15.619,0.4084,382.5,0.1205,0.9927,0
CELL_017,0,2018,1,2018-01-01,1,0,0,30.449,-9.8105,14.886,0.0941,514.9,0.1205,0.9927,0
CELL_018,0,2018,1,2018-01-01,1,0,0,29.948,-8.6293,13.858,1.3159,459.2,0.1205,0.9927,0
CELL_019,0,2018,1,2018-01-01,1,0,0,36.215,-11.6326,15.907,0.511,374.7,0.1205,0.9927,0
CELL_020,0,2018,1,2018-01-01,1,0,0,34.487,-10.7633,15.154,-0.0463,567.1,0.1205,0.9927,0
CELL_021,0,2018,1,2018-01-01,1,0,0,27.456,-7.626,13.617,0.9354,283.7,0.1205,0.9927,0
CELL_022,0,2018,1,2018-01-01,1,0,0,14.545,-4.0279,15.174,0.147,375.3,0.1205,0.9927,0
CELL_023,0,2018,1,2018-01-01,1,0,0,23.008,-6.8135,14.032,0.4966,419.8,0.1205,0.9927,0
CELL_024,0,2018,1,2018-01-01,1,0,0,22.171,-6.5244,14.683,0.3528,473.6,0.1205,0.9927,0
CELL_025,0,2018,1,2018-01-01,1,0,0,19.946,-5.9048,15.328,0.7228,671.1,0.1205,0.9927,0
CELL_026,0,2018,1,2018-01-01,1,0,0,39.524,-12.6924,15.324,-0.3624,319.8,0.1205,0.9927,0
CELL_027,0,2018,1,2018-01-01,1,0,0,23.502,-7.3074,15.18,0.0907,508.5,0.1205,0.9927,0
CELL_028,0,2018,1,2018-01-01,1,0,0,34.046,-10.6656,14.762,0.6022,555.4,0.1205,0.9927,0
CELL_029,0,2018,1,2018-01-01,1,0,0,32.056,-10.0088,13.394,0.4393,227.9,0.1205,0.9927,0
CELL_030,0,2018,1,2018-01-01,1,0,0,33.567,-10.643,14.761,0.0421,564.5,0.1205,0.9927,0
CELL_031,0,2018,1,2018-01-01,1,0,0,29.579,-8.9863,14.262,0.8902,302.3,0.1205,0.9927,0
CELL_032,0,2018,1,2018-01-01,1,0,0,30.482,-10.018,15.876,-0.7635,239.0,0.1205,0.9927,0
CELL_033,0,2018,1,2018-01-01,1,0,0,28.467,-8.9135,14.561,0.6579,769.3,0.1205,0.9927,0
CELL_034,0,2018,1,2018-01-01,1,0,0,20.054,-5.5994,14.599,1.0562,779.4,0.1205,0.9927,0
CELL_035,0,2018,1,2018-01-01,1,0,0,33.737,-10.6215,14.394,0.2285,685.0,0.1205,0.9927,0
CELL_036,0,2018,1,2018-01-01,1,0,0,22.808,-6.0582,14.386,0.6172,382.8,0.1205,0.9927,0
CELL_037,0,2018,1,2018-01-01,1,0,0,17.35,-4.3372,14.462,1.0729,258.6,0.1205,0.9927,0
CELL_038,0,2018,1,2018-01-01,1,0,0,27.061,-8.2279,13.917,-0.4631,610.5,0.1205,0.9927,0
CELL_039,0,2018,1,2018-01-01,1,0,0,19.465,-5.5633,16.064,0.6358,464.1,0.1205,0.9927,0
CELL_040,0,2018,1,2018-01-01,1,0,0,40.17,-12.3156,12.954,0.5901,273.2,0.1205,0.9927,0
