cell_id,week_index,ite,ite_lo,ite_hi,depth_zone,bathymetry,vessel_density,dvm_amplitude,is_treated,is_post_covid
CELL_088,122,-0.3504647932475914,-0.35169574935198533,-0.34923383714319745,deep,2494.9,6.292,-1.4054,0,1
CELL_089,122,-0.35041817563259553,-0.35209013974119624,-0.3487462115239954,deep,1573.9,8.808,-1.8899,0,1
CELL_090,122,-0.35008524439207667,-0.3521344064139674,-0.3480360823701857,mid,1097.9,7.75,-1.7815,0,1
CELL_091,122,-0.35190085421717454,-0.359214764394312,-0.3445869440400371,deep,3671.1,3.512,-0.161,0,1
CELL_092,122,-0.35166723235579855,-0.35702523868556707,-0.34630922602603026,deep,3681.3,2.911,-0.2327,0,1
CELL_093,122,-0.3503005919978022,-0.35207442759578467,-0.3485267563998198,deep,2825.9,3.824,-0.4655,0,1
CELL_094,122,-0.3502944067372039,-0.3528178678762107,-0.347770945598197,deep,1884.9,2.967,-0.008,0,1
CELL_095,122,-0.3503891561134733,-0.3521612834724398,-0.3486170287545066,deep,1917.5,8.577,-2.1885,0,1
CELL_096,122,-0.3489366098641931,-0.35209133380429003,-0.3457818859240962,deep,3123.1,7.564,-1.5203,0,1
CELL_097,122,-0.348837562044318,-0.35487065733199336,-0.3428044667566426,deep,3670.8,3.479,-0.6206,0,1
CELL_098,122,-0.34906603898869726,-0.3548517116875105,-0.34328036628988423,deep,3638.7,5.735,-1.7616,0,1
CELL_099,122,-0.3482878701024108,-0.3525261206153808,-0.3440496195894409,deep,3295.6,4.721,-0.7288,0,1
CELL_000,123,-0.35066664890313787,-0.35222359721872726,-0.3491097005875485,shallow,424.7,12.276,-2.8616,1,1
CELL_001,123,-0.34964911019986833,-0.3506104406219006,-0.34868777977783627,mid,770.4,7.12,-0.9537,1,1
CELL_002,123,-0.34975406893917094,-0.3519499273001577,-0.34755821057818426,mid,639.2,7.012,-1.0662,1,1
CELL_003,123,-0.3498238072965339,-0.35181974543108435,-0.34782786916198344,mid,559.2,14.225,-3.3812,1,1
CELL_004,123,-0.35008866017640516,-0.3515774426973514,-0.34859987765545847,shallow,293.6,13.71,-3.2168,1,1
CELL_005,123,-0.3500239580380564,-0.35179260641321514,-0.3482553096628977,shallow,293.6,7.261,-1.3347,1,1
CELL_006,123,-0.3500034181205217,-0.351759162058309,-0.3482476741827348,shallow,234.9,7.812,-1.2662,1,1
CELL_007,123,-0.34870132476081817,-0.349799198914121,-0.347603450607515,mid,719.7,12.681,-3.1715,1,1
CELL_008,123,-0.34974907913814773,-0.35173792847708524,-0.34776022979921023,mid,560.7,4.432,-0.2935,1,1
CELL_009,123,-0.3496836990829134,-0.3513370825177459,-0.3480303156480808,mid,624.8,8.636,-1.253,1,1
CELL_010,123,-0.34941620149050734,-0.35048944120633224,-0.34834296177468244,shallow,212.4,9.833,-2.1017,1,1
CELL_011,123,-0.35001979141896555,-0.351396468656215,-0.3486431141817158,mid,781.9,16.066,-4.3903,1,1
CELL_012,123,-0.34871068403092903,-0.34981984374404657,-0.3476015243178114,mid,699.5,15.912,-3.9051,1,1
CELL_013,123,-0.35045594648949635,-0.3522228607896161,-0.34868903218937625,shallow,327.4,7.715,-1.5872,1,1
CELL_014,123,-0.3501889801967842,-0.35133954340957807,-0.3490384169839901,shallow,309.1,15.032,-3.6932,1,1
CELL_015,123,-0.3504344873797483,-0.35137809634189787,-0.3494908784175986,shallow,310.0,8.916,-1.9158,1,1
CELL_016,123,-0.35062904697775826,-0.35209645461393374,-0.3491616393415828,shallow,382.5,8.113,-1.4634,1,1
