cell_id,ite,ite_lo,ite_hi,depth_zone,bathymetry,vessel_density,dvm_amplitude,is_treated,is_post_covid
LAT54.0_LON7.5,-0.3391480038026915,-0.35091874979528387,-0.327377257810099,shallow,95,0.25811876208851486,1.3998266125494128,1,0
LAT50.1_LON-2.5,-0.34791361492449463,-0.3526672593490186,-0.34315997049997077,shallow,60,1.2594719969804655,1.8082231120767336,1,0
LAT36.8_LON-36.3,-0.2863202193530028,-0.39540191002034447,-0.17723852868566126,deep,4200,0.019164588252096215,-0.026318640797413473,0,0
LAT49.5_LON-2.5,-0.34726206932411535,-0.3524656220606314,-0.3420585165875993,shallow,60,0.11790966039255225,1.4847635722810797,1,0
LAT40.1_LON-35.3,-0.3423663524178296,-0.35096299324713626,-0.33376971158852303,deep,4500,0.005094136208385441,0.806839984223113,0,0
LAT40.1_LON-36.9,-0.3414186896860552,-0.35248550913940535,-0.33035187023270507,deep,4500,0.03691009570328506,0.44016417170884026,0,0
LAT51.6_LON1.1,-0.3442662283390164,-0.35076442927599377,-0.337768027402039,shallow,60,0.07694104957819088,1.7886526029536756,1,0
LAT37.3_LON-34.9,-0.3433926532305384,-0.3531673378803473,-0.3336179685807295,deep,4200,0.0097460342184605,0.8798088340732155,0,0
LAT56.9_LON7.5,-0.35029424499619044,-0.3591452275766059,-0.341443262415775,shallow,95,0.8278839021167328,1.4635553600549078,1,0
LAT36.6_LON-32.4,-0.33289986884496864,-0.38000175009367987,-0.2857979875962574,deep,4200,0.010476566938454232,0.4280120171247008,0,0
LAT43.1_LON-44.8,-0.34111211455204526,-0.3530118722599416,-0.32921235684414896,deep,4500,0.009684456747809685,0.506956148577077,0,0
LAT49.8_LON-0.3,-0.3464873993531453,-0.3524975649884666,-0.3404772337178239,shallow,60,0.2851568696560991,1.1157139873248587,1,0
LAT56.6_LON6.2,-0.34432796055619047,-0.3539154877390692,-0.3347404333733115,shallow,95,0.011044759054004916,1.6707897398770204,1,0
LAT57.1_LON6.9,-0.3457798528077542,-0.3556791405244902,-0.33588056509101855,shallow,95,0.36414676962139875,1.786117766656044,1,0
LAT52.3_LON2.6,-0.34438665656011763,-0.35418065563166157,-0.3345926574885737,shallow,95,0.7052411734118844,1.6887267334334108,1,0
LAT50.7_LON-2.7,-0.34426961602703454,-0.3510376068059291,-0.33750162524813976,shallow,60,0.17443497947405992,1.2330931388675432,1,0
LAT50.5_LON0.5,-0.3430878285688656,-0.35250433563265177,-0.33367132150507944,shallow,60,0.9030839886610692,1.4607784305315006,1,1
LAT50.6_LON-3.1,-0.3463042769124054,-0.35275519230288993,-0.33985336152192086,shallow,60,0.14778872853788994,1.4271676726712264,1,0
LAT37.2_LON-33.8,-0.33572823045935446,-0.36554859464270134,-0.3059078662760078,deep,4200,0.016737876113266447,0.10054073350809054,0,0
LAT53.9_LON2.9,-0.3463938983069834,-0.35463810075642715,-0.33814969585754034,shallow,95,0.03082792098854794,2.0218974084627175,1,0
LAT38.9_LON-32.4,-0.32931740251562724,-0.3556939410630103,-0.3029408639682443,deep,4200,0.013323125468085,0.8246737702384789,0,0
LAT36.7_LON-31.3,-0.33248540788773884,-0.37978287484942735,-0.2851879409260502,deep,4200,0.012900480101345327,-0.20969285993120895,0,1
LAT49.1_LON-3.0,-0.34710379989879137,-0.3525895749267961,-0.3416180248707865,shallow,60,0.0055447713345118475,1.7339285332306227,1,0
LAT38.2_LON-37.0,-0.324726130870166,-0.37849079440569194,-0.27096146733464005,deep,4200,0.007971483473341614,0.21064056024760447,0,1
LAT50.1_LON-1.9,-0.34462331465496887,-0.352897419374508,-0.3363492099354297,shallow,60,0.06632733281874165,1.6734816614712429,1,0
LAT56.5_LON6.1,-0.3461331265080289,-0.3542753749005003,-0.3379908781155575,shallow,95,0.04100219852562546,1.2611004122125324,1,0
LAT41.4_LON-42.2,-0.3314953770199426,-0.37839373245086166,-0.28459702158902356,deep,4500,0.009779621929724579,0.2655077596396165,0,0
LAT49.7_LON-2.7,-0.3480289630501194,-0.35268002162079914,-0.3433779044794396,shallow,60,0.32093897805609883,1.4380408895182486,1,0
LAT40.4_LON-38.1,-0.34478451448932274,-0.3549964395932072,-0.33457258938543827,deep,4500,0.010272241694931081,0.1305559103576821,0,0
LAT55.1_LON6.6,-0.3480998364551429,-0.35837885641434636,-0.3378208164959397,shallow,95,0.11668370893141336,1.8159735292004635,1,0
LAT53.8_LON2.3,-0.3433902926956914,-0.35225461018132714,-0.3345259752100557,shallow,95,0.008214994380006193,1.514887943479653,1,0
LAT50.7_LON0.0,-0.34564218142415504,-0.35710995559665293,-0.33417440725165715,shallow,60,0.35901904570174936,1.003798144924325,1,1
LAT57.5_LON5.3,-0.3434841447030484,-0.35276337331394875,-0.33420491609214814,shallow,95,0.36471216276101087,1.676506564502575,1,0
LAT54.6_LON6.2,-0.3478969205226536,-0.3542905127980677,-0.34150332824723945,shallow,95,0.4424929051208037,1.3681358923589655,1,0
LAT54.4_LON6.0,-0.3464138663974017,-0.35551864730634314,-0.33730908548846067,shallow,95,0.2337032949754675,1.7641376288656763,1,0
LAT50.9_LON1.3,-0.3432520567860574,-0.3518675477168556,-0.33463656585525936,shallow,60,0.3168944578247159,1.7657848242013507,1,0
LAT53.6_LON5.9,-0.3415508811225189,-0.3480750295897131,-0.33502673265532473,shallow,95,0.752434706713855,1.7661689304805694,1,0
LAT37.3_LON-35.8,-0.34335033622897765,-0.3530942701810584,-0.3336064022768969,deep,4200,0.03409712488491838,0.4066905001361112,0,0
LAT50.7_LON-5.0,-0.34739995607117286,-0.35266340640036326,-0.34213650574198246,shallow,60,0.566733849086635,1.3762565789038024,1,0
LAT57.9_LON6.6,-0.34866203721890526,-0.3557297250457712,-0.34159434939203953,shallow,95,0.004483959453754658,1.9839400887839969,1,0
LAT52.4_LON3.5,-0.34595466045266987,-0.3568453092467296,-0.33506401165861016,shallow,95,0.010865624593929826,1.910236402668315,1,0
LAT48.7_LON-2.5,-0.3469104129766948,-0.35787546827065125,-0.3359453576827382,shallow,60,0.5970047738633869,1.5522039442007822,1,0
LAT52.2_LON2.4,-0.342106089954112,-0.34938321170457914,-0.3348289682036448,shallow,95,2.174658757600358,1.029562206889388,1,0
LAT53.1_LON2.6,-0.3443361190317999,-0.3549433780643468,-0.3337288599992531,shallow,95,0.12857375871889762,1.6420544913570152,1,1
LAT35.3_LON-37.9,-0.33345490410764506,-0.3792780590024999,-0.2876317492127902,deep,4200,0.012780124135982377,0.18224462265001068,0,0
LAT49.2_LON-2.5,-0.3371880315333949,-0.35887157441486306,-0.31550448865192693,shallow,60,0.026987726000688144,1.2191638867594938,1,0
LAT57.0_LON6.8,-0.3430248258692563,-0.35412303687407354,-0.33192661486443886,shallow,95,0.5002161859040635,1.6218485348720342,1,0
