cell_id,mean_ite,bathymetry,depth_zone
CELL_000,-0.3554029193613431,424.7,shallow
CELL_001,-0.3510894874065636,770.4,mid
CELL_002,-0.3497644085407927,639.2,mid
CELL_003,-0.3496885079195702,559.2,mid
CELL_004,-0.35130519083021916,293.6,shallow
CELL_005,-0.35131684258209495,293.6,shallow
CELL_006,-0.3511353274200326,234.9,shallow
CELL_007,-0.34964990822494285,719.7,mid
CELL_008,-0.34898010015803493,560.7,mid
CELL_009,-0.3497802355920729,624.8,mid
CELL_010,-0.35116309333997914,212.4,shallow
CELL_011,-0.3512216963659186,781.9,mid
CELL_012,-0.3498419575678742,699.5,mid
CELL_013,-0.3544320871781676,327.4,shallow
CELL_014,-0.35225717841959486,309.1,shallow
CELL_015,-0.353156317885719,310.0,shallow
CELL_016,-0.3550833178107882,382.5,shallow
CELL_017,-0.3500689747749165,514.9,mid
CELL_018,-0.3557340703846924,459.2,shallow
CELL_019,-0.3546162052768753,374.7,shallow
CELL_020,-0.3497477192727205,567.1,mid
CELL_021,-0.3512404803804652,283.7,shallow
CELL_022,-0.3555540114806739,375.3,shallow
CELL_023,-0.35528186495401204,419.8,shallow
CELL_024,-0.3559010648342066,473.6,shallow
CELL_025,-0.3497352784533998,671.1,mid
CELL_026,-0.35376904291876105,319.8,shallow
CELL_027,-0.3564151095116093,508.5,mid
CELL_028,-0.34982671807219934,555.4,mid
CELL_029,-0.35138345328124737,227.9,shallow
CELL_030,-0.34939774353777814,564.5,mid
CELL_031,-0.3519927729354001,302.3,shallow
CELL_032,-0.3513824994077421,239.0,shallow
CELL_033,-0.35068676864529513,769.3,mid
CELL_034,-0.351316071218604,779.4,mid
CELL_035,-0.3496547807693777,685.0,mid
CELL_036,-0.3549914187487863,382.8,shallow
CELL_037,-0.35154821701309447,258.6,shallow
CELL_038,-0.34989468107304184,610.5,mid
CELL_039,-0.35514351552474005,464.1,shallow
CELL_040,-0.35134798764792663,273.2,shallow
CELL_041,-0.35725702241167756,497.1,shallow
CELL_042,-0.351121709239732,220.6,shallow
CELL_043,-0.3499585874648425,745.6,mid
CELL_044,-0.35448392796241024,355.3,shallow
CELL_045,-0.34992611470500484,597.5,mid
CELL_046,-0.3555811824538205,387.0,shallow
CELL_047,-0.3506483622240596,512.0,mid
CELL_048,-0.3501283888516374,528.0,mid
CELL_049,-0.3530319998393976,310.9,shallow
CELL_050,-0.3514176260104512,3706.5,deep
CELL_051,-0.3512818026956296,1566.6,deep
CELL_052,-0.3510401739146698,1263.7,mid
CELL_053,-0.3513424877522183,2366.2,deep
CELL_054,-0.35285536138896634,3954.1,deep
CELL_055,-0.35132509196246187,1574.6,deep
CELL_056,-0.3512039657174984,2950.8,deep
CELL_057,-0.3484880823619035,3237.2,deep
CELL_058,-0.3510041363112737,1560.4,deep
CELL_059,-0.3486467793730602,3130.3,deep
CELL_060,-0.35129625697053957,1976.9,deep
CELL_061,-0.35131191195158706,2823.4,deep
CELL_062,-0.35124195274233966,2827.3,deep
CELL_063,-0.3511777150000199,2514.5,deep
CELL_064,-0.3513144626571006,1088.9,mid
CELL_065,-0.3411049660928982,3473.0,deep
CELL_066,-0.35118589783638227,1826.5,deep
CELL_067,-0.3511077259789376,1396.9,mid
CELL_068,-0.35116412816787573,930.5,mid
CELL_069,-0.3511611124145783,2690.9,deep
CELL_070,-0.3510120907030041,2968.2,deep
CELL_071,-0.3512081359106504,853.1,mid
CELL_072,-0.3512282224523197,2438.7,deep
CELL_073,-0.351293013830966,1524.8,deep
CELL_074,-0.3511567705062106,2864.6,deep
CELL_075,-0.3511898009885841,1358.0,mid
CELL_076,-0.3505810964521102,3011.0,deep
CELL_077,-0.3513068630848704,2037.6,deep
CELL_078,-0.35259379664186424,3797.5,deep
CELL_079,-0.35133352539083007,1240.1,mid
CELL_080,-0.35125682491998816,1891.4,deep
CELL_081,-0.3512494966593591,1163.1,mid
CELL_082,-0.35240106729864534,3759.0,deep
CELL_083,-0.34085951305436896,3607.5,deep
CELL_084,-0.3514171936736409,1625.4,deep
CELL_085,-0.3511444220530218,2911.9,deep
CELL_086,-0.3402805442369661,3415.1,deep
CELL_087,-0.35119028576376093,2576.6,deep
CELL_088,-0.3511953443337079,2494.9,deep
CELL_089,-0.35145719814295234,1573.9,deep
CELL_090,-0.3512788271883924,1097.9,mid
CELL_091,-0.3515435288870083,3671.1,deep
CELL_092,-0.35128233151354826,3681.3,deep
CELL_093,-0.3513263617215363,2825.9,deep
CELL_094,-0.3514600478864081,1884.9,deep
CELL_095,-0.3514257221426683,1917.5,deep
CELL_096,-0.34873198342860867,3123.1,deep
CELL_097,-0.3484872804667387,3670.8,deep
CELL_098,-0.34864457956002337,3638.7,deep
CELL_099,-0.34834314214984213,3295.6,deep
